"","url","catalogNumber","family","subfamily","genus","specificEpithet","scientific_name","typeStatus","stateProvince","country","dateIdentified","habitat","minimumElevationInMeters","geojson.type","decimal_latitude","decimal_longitude"
"3532","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173935","casent0173935","formicidae","myrmicinae","Crematogaster","crinosa","crematogaster crinosa","","Caaguaz","","2006-12-31","field","","point","-25.21667","-56.16667"
"3533","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173936","casent0173936","formicidae","myrmicinae","Crematogaster","curvispinosa","crematogaster curvispinosa","","Canindey","","2006-12-31","bosque bajo","","point","-24.133333","-55.433334"
"3534","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173937","casent0173937","formicidae","myrmicinae","Crematogaster","curvispinosa","crematogaster curvispinosa","","Canindey","","2006-12-31","bosque bajo","","point","-24.133333","-55.433334"
"3535","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173938","casent0173938","formicidae","myrmicinae","Crematogaster","curvispinosa","crematogaster curvispinosa","","Canindey","","2006-12-31","bosque bajo","","point","-24.133333","-55.433334"
"3536","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173939","casent0173939","formicidae","myrmicinae","Crematogaster","montezumia","crematogaster montezumia","","Canindey","","2006-12-31","bosque bajo, river edge","","point","-24.1","-55.533333"
"3537","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173940","casent0173940","formicidae","myrmicinae","Crematogaster","cisplatinalis","crematogaster cisplatinalis","","Misiones","","2006-12-31","Gallery forest edge Foraging ants","152","point","-26.722017","-57.060482"
"3538","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173941","casent0173941","formicidae","myrmicinae","Crematogaster","nitidiceps","crematogaster nitidiceps","","Canindey","","2006-12-31","bosque medio","","point","-24.133333","-55.433334"
"3539","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173942","casent0173942","formicidae","myrmicinae","Crematogaster","nitidiceps","crematogaster nitidiceps","","Canindey","","2006-12-31","bosque bajo, river edge","","point","-24.1","-55.533333"
"3540","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173943","casent0173943","formicidae","myrmicinae","Crematogaster","quadriformis","crematogaster quadriformis","","Canindey","","2006-12-31","campo cerrado/ bosque bajo","","point","-24.133333","-55.433334"
"3541","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173944","casent0173944","formicidae","myrmicinae","Crematogaster","quadriformis","crematogaster quadriformis","","Neembuc","","2006-12-31","","","point","-26.85","-57.6"
"3542","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0173945","casent0173945","formicidae","myrmicinae","Crematogaster","nigropilosa","crematogaster nigropilosa","","Canindey","","2006-12-31","logged bosque alto assorted strays and foragers on plant leaves, stems, above ground level","","point","-24.1","-55.533333"
